Year;Month;Day;Hour;Min;Sec;level(m);volume(m3);discharge(m3/s)
2019;6;19;7;40;0;2726.21579;711907;0.000
2019;6;19;7;50;0;2726.21486;711836;0.118
2019;6;19;8;0;0;2726.21401;711770;0.110
2019;6;19;8;10;0;2726.21222;711629;0.235
2019;6;19;8;20;0;2726.21037;711479;0.250
2019;6;19;8;30;0;2726.20820;711313;0.277
2019;6;19;8;40;0;2726.20547;711095;0.364
2019;6;19;8;50;0;2726.20225;710844;0.418
2019;6;19;9;0;0;2726.19852;710549;0.491
2019;6;19;9;10;0;2726.19421;710212;0.563
2019;6;19;9;20;0;2726.18959;709854;0.596
2019;6;19;9;30;0;2726.18498;709484;0.617
2019;6;19;9;40;0;2726.18006;709103;0.636
2019;6;19;9;50;0;2726.17513;708718;0.641
2019;6;19;10;0;0;2726.17006;708317;0.667
2019;6;19;10;10;0;2726.16483;707908;0.682
2019;6;19;10;20;0;2726.15944;707484;0.707
2019;6;19;10;30;0;2726.15406;707057;0.712
2019;6;19;10;40;0;2726.14852;706629;0.714
2019;6;19;10;50;0;2726.14313;706202;0.712
2019;6;19;11;0;0;2726.13806;705810;0.653
2019;6;19;11;10;0;2726.13313;705418;0.654
2019;6;19;11;20;0;2726.12836;705050;0.614
2019;6;19;11;30;0;2726.12375;704689;0.601
2019;6;19;11;40;0;2726.11913;704330;0.599
2019;6;19;11;50;0;2726.11467;703978;0.587
2019;6;19;12;0;0;2726.11036;703641;0.562
2019;6;19;12;10;0;2726.10636;703324;0.528
2019;6;19;12;20;0;2726.10283;703053;0.451
2019;6;19;12;30;0;2726.09975;702810;0.404
2019;6;19;12;40;0;2726.09683;702584;0.378
2019;6;19;12;50;0;2726.09436;702389;0.324
2019;6;19;13;0;0;2726.09221;702224;0.274
2019;6;19;13;10;0;2726.09021;702064;0.267
2019;6;19;13;20;0;2726.08852;701935;0.215
2019;6;19;13;30;0;2726.08729;701838;0.162
2019;6;19;13;40;0;2726.08652;701779;0.097
2019;6;19;13;50;0;2726.08621;701755;0.040
2019;6;19;14;0;0;2726.08636;701767;-0.020
2019;6;19;14;10;0;2726.08698;701815;-0.079
2019;6;19;14;20;0;2726.08806;701899;-0.141
2019;6;19;14;30;0;2726.08929;701994;-0.157
2019;6;19;14;40;0;2726.09083;702112;-0.197
2019;6;19;14;50;0;2726.09283;702271;-0.266
2019;6;19;15;0;0;2726.09498;702436;-0.275
2019;6;19;15;10;0;2726.09744;702623;-0.312
2019;6;19;15;20;0;2726.10021;702846;-0.372
2019;6;19;15;30;0;2726.10313;703077;-0.385
2019;6;19;15;40;0;2726.10621;703312;-0.392
2019;6;19;15;50;0;2726.10944;703576;-0.441
2019;6;19;16;0;0;2726.11283;703836;-0.433
2019;6;19;16;10;0;2726.11636;704106;-0.450
2019;6;19;16;20;0;2726.11990;704388;-0.471
2019;6;19;16;30;0;2726.12344;704666;-0.463
2019;6;19;16;40;0;2726.12729;704960;-0.491
2019;6;19;16;50;0;2726.13113;705265;-0.508
2019;6;19;17;0;0;2726.13513;705579;-0.523
2019;6;19;17;10;0;2726.13944;705908;-0.549
2019;6;19;17;20;0;2726.14390;706269;-0.602
2019;6;19;17;30;0;2726.14836;706618;-0.581
2019;6;19;17;40;0;2726.15313;706986;-0.614
2019;6;19;17;50;0;2726.15806;707371;-0.641
2019;6;19;18;0;0;2726.16313;707771;-0.667
2019;6;19;18;10;0;2726.16836;708180;-0.681
2019;6;19;18;20;0;2726.17375;708603;-0.707
2019;6;19;18;30;0;2726.17929;709036;-0.721
2019;6;19;18;40;0;2726.18483;709472;-0.727
2019;6;19;18;50;0;2726.19036;709913;-0.734
2019;6;19;19;0;0;2726.19606;710361;-0.747
2019;6;19;19;10;0;2726.20190;710818;-0.761
2019;6;19;19;20;0;2726.20775;711278;-0.768
2019;6;19;19;30;0;2726.21375;711750;-0.787
2019;6;19;19;40;0;2726.21990;712231;-0.801
2019;6;19;19;50;0;2726.22606;712715;-0.807
2019;6;19;20;0;0;2726.23206;713192;-0.795
2019;6;19;20;10;0;2726.23806;713665;-0.787
2019;6;19;20;20;0;2726.24390;714123;-0.763
2019;6;19;20;30;0;2726.24975;714585;-0.771
2019;6;19;20;40;0;2726.25544;715041;-0.760
2019;6;19;20;50;0;2726.26113;715481;-0.732
2019;6;19;21;0;0;2726.26667;715920;-0.731
2019;6;19;21;10;0;2726.27206;716342;-0.704
2019;6;19;21;20;0;2726.27698;716733;-0.652
2019;6;19;21;30;0;2726.28175;717109;-0.627
