;DOY;original;one-hour;four-hour;half-daily;daily;three-daily
;170.8681;-0.8270;-0.8342;-0.7626;-0.4099;0.0222;0.0219
;170.8750;-0.8240;-0.8078;-0.7485;-0.4014;0.0229;0.0238
;170.8819;-0.7950;-0.7772;-0.7332;-0.3922;0.0233;0.0256
;170.8889;-0.7340;-0.7464;-0.7156;-0.3823;0.0235;0.0275
;170.8958;-0.7060;-0.7086;-0.6962;-0.3717;0.0233;0.0293
;170.9028;-0.6730;-0.6730;-0.6740;-0.3604;0.0230;0.0311
;170.9097;-0.6350;-0.6482;-0.6504;-0.3485;0.0223;0.0329
;170.9167;-0.6170;-0.6214;-0.6229;-0.3361;0.0215;0.0347
;170.9236;-0.6100;-0.5988;-0.5940;-0.3231;0.0204;0.0364
;170.9306;-0.5720;-0.5788;-0.5619;-0.3096;0.0191;0.0381
;170.9375;-0.5600;-0.5564;-0.5284;-0.2956;0.0177;0.0398
;170.9444;-0.5350;-0.5296;-0.4910;-0.2811;0.0161;0.0414
;170.9514;-0.5050;-0.5076;-0.4522;-0.2662;0.0144;0.0430
;170.9583;-0.4760;-0.4792;-0.4113;-0.2509;0.0126;0.0446
;170.9653;-0.4620;-0.4480;-0.3686;-0.2351;0.0107;0.0461
;170.9722;-0.4180;-0.4138;-0.3248;-0.2190;0.0087;0.0476
;170.9792;-0.3790;-0.3816;-0.2814;-0.2026;0.0067;0.0490
;170.9861;-0.3340;-0.3338;-0.2380;-0.1859;0.0045;0.0504
;170.9931;-0.3150;-0.2848;-0.1944;-0.1689;0.0023;0.0517
;171.0000;-0.2230;-0.2268;-0.1517;-0.1517;0.0000;0.0530
;171.0069;-0.1730;-0.1644;-0.1094;-0.1342;-0.0023;0.0542
;171.0139;-0.0890;-0.0880;-0.0675;-0.1166;-0.0048;0.0553
;171.0208;-0.0220;-0.0210;-0.0280;-0.0987;-0.0072;0.0565
;171.0278;0.0670;0.0526;0.0112;-0.0807;-0.0097;0.0575
;171.0347;0.1120;0.1194;0.0492;-0.0626;-0.0123;0.0585
;171.0417;0.1950;0.1834;0.0869;-0.0443;-0.0148;0.0595
;171.0486;0.2450;0.2402;0.1220;-0.0259;-0.0173;0.0604
;171.0556;0.2980;0.2936;0.1574;-0.0073;-0.0198;0.0613
;171.0625;0.3510;0.3382;0.1911;0.0112;-0.0222;0.0621
;171.0694;0.3790;0.3756;0.2229;0.0299;-0.0246;0.0628
;171.0764;0.4180;0.4040;0.2526;0.0485;-0.0270;0.0636
;171.0833;0.4320;0.4214;0.2827;0.0671;-0.0292;0.0642
;171.0903;0.4400;0.4290;0.3101;0.0857;-0.0315;0.0648
;171.0972;0.4380;0.4290;0.3365;0.1041;-0.0337;0.0654
;171.1042;0.4170;0.4256;0.3597;0.1225;-0.0358;0.0659
;171.1111;0.4180;0.4252;0.3811;0.1406;-0.0379;0.0663
;171.1181;0.4150;0.4182;0.4006;0.1586;-0.0399;0.0667
;171.1250;0.4380;0.4192;0.4182;0.1763;-0.0419;0.0670
;171.1319;0.4030;0.4204;0.4324;0.1936;-0.0439;0.0673
;171.1389;0.4220;0.4206;0.4460;0.2106;-0.0459;0.0675
;171.1458;0.4240;0.4148;0.4579;0.2272;-0.0478;0.0676
;171.1528;0.4160;0.4218;0.4685;0.2435;-0.0498;0.0677
;171.1597;0.4090;0.4296;0.4791;0.2593;-0.0516;0.0677
;171.1667;0.4380;0.4422;0.4879;0.2747;-0.0535;0.0676
;171.1736;0.4610;0.4574;0.4958;0.2895;-0.0553;0.0675
;171.1806;0.4870;0.4782;0.5037;0.3038;-0.0571;0.0672
;171.1875;0.4920;0.5016;0.5108;0.3175;-0.0588;0.0670
;171.1944;0.5130;0.5196;0.5190;0.3306;-0.0605;0.0666
;171.2014;0.5550;0.5322;0.5268;0.3429;-0.0622;0.0661
;171.2083;0.5510;0.5510;0.5336;0.3545;-0.0637;0.0656
;171.2153;0.5500;0.5674;0.5389;0.3652;-0.0653;0.0650
;171.2222;0.5860;0.5794;0.5447;0.3751;-0.0667;0.0643
;171.2292;0.5950;0.5982;0.5477;0.3839;-0.0681;0.0636
;171.2361;0.6150;0.6156;0.5500;0.3918;-0.0694;0.0627
;171.2431;0.6450;0.6246;0.5508;0.3986;-0.0706;0.0618
;171.2500;0.6370;0.6330;0.5518;0.4043;-0.0717;0.0608
;171.2569;0.6310;0.6330;0.5515;0.4089;-0.0727;0.0597
;171.2639;0.6370;0.6282;0.5498;0.4123;-0.0736;0.0585
;171.2708;0.6150;0.6238;0.5478;0.4145;-0.0743;0.0573
;171.2778;0.6210;0.6144;0.5471;0.4156;-0.0750;0.0560
;171.2847;0.6150;0.6012;0.5458;0.4155;-0.0755;0.0545
;171.2917;0.5840;0.5876;0.5437;0.4143;-0.0759;0.0531
;171.2986;0.5710;0.5628;0.5424;0.4120;-0.0761;0.0515
;171.3056;0.5470;0.5360;0.5431;0.4087;-0.0762;0.0498
;171.3125;0.4970;0.5066;0.5432;0.4043;-0.0762;0.0481
;171.3194;0.4810;0.4790;0.5443;0.3990;-0.0761;0.0463
;171.3264;0.4370;0.4558;0.5451;0.3927;-0.0758;0.0444
;171.3333;0.4330;0.4404;0.5453;0.3855;-0.0754;0.0425
;171.3403;0.4310;0.4316;0.5451;0.3773;-0.0749;0.0405
;171.3472;0.4200;0.4388;0.5440;0.3682;-0.0742;0.0384
;171.3542;0.4370;0.4486;0.5428;0.3583;-0.0734;0.0362
;171.3611;0.4730;0.4628;0.5400;0.3476;-0.0725;0.0340
;171.3681;0.4820;0.4822;0.5347;0.3361;-0.0713;0.0317
;171.3750;0.5020;0.5086;0.5268;0.3238;-0.0700;0.0294
;171.3819;0.5170;0.5318;0.5176;0.3108;-0.0684;0.0270
;171.3889;0.5690;0.5598;0.5086;0.2972;-0.0667;0.0245
;171.3958;0.5890;0.5862;0.4982;0.2829;-0.0648;0.0220
;171.4028;0.6220;0.6128;0.4892;0.2680;-0.0626;0.0195
;171.4097;0.6340;0.6256;0.4803;0.2525;-0.0604;0.0169
;171.4167;0.6500;0.6282;0.4716;0.2365;-0.0579;0.0142
;171.4236;0.6330;0.6252;0.4614;0.2200;-0.0553;0.0116
;171.4306;0.6020;0.6078;0.4509;0.2030;-0.0527;0.0088
;171.4375;0.6070;0.5752;0.4394;0.1857;-0.0499;0.0061
;171.4444;0.5470;0.5322;0.4255;0.1680;-0.0470;0.0033
;171.4514;0.4870;0.4826;0.4092;0.1499;-0.0442;0.0005
;171.4583;0.4180;0.4302;0.3917;0.1315;-0.0413;-0.0023
;171.4653;0.3540;0.3786;0.3716;0.1129;-0.0385;-0.0051
;171.4722;0.3450;0.3356;0.3492;0.0940;-0.0357;-0.0079
;171.4792;0.2890;0.3034;0.3229;0.0749;-0.0330;-0.0108
;171.4861;0.2720;0.2768;0.2932;0.0556;-0.0303;-0.0136
;171.4931;0.2570;0.2430;0.2588;0.0363;-0.0276;-0.0165
;171.5000;0.2210;0.2192;0.2220;0.0168;-0.0250;-0.0193
;171.5069;0.1760;0.1914;0.1813;-0.0026;-0.0225;-0.0222
;171.5139;0.1700;0.1576;0.1388;-0.0221;-0.0201;-0.0250
;171.5208;0.1330;0.1266;0.0956;-0.0414;-0.0177;-0.0278
;171.5278;0.0880;0.1002;0.0496;-0.0607;-0.0155;-0.0307
;171.5347;0.0660;0.0662;0.0052;-0.0799;-0.0133;-0.0335
;171.5417;0.0440;0.0308;-0.0387;-0.0990;-0.0113;-0.0363
;171.5486;0.0000;-0.0044;-0.0813;-0.1179;-0.0094;-0.0391
;171.5556;-0.0440;-0.0484;-0.1206;-0.1366;-0.0076;-0.0419
;171.5625;-0.0880;-0.1046;-0.1598;-0.1552;-0.0060;-0.0447
;171.5694;-0.1540;-0.1620;-0.1982;-0.1735;-0.0045;-0.0474
;171.5764;-0.2370;-0.2266;-0.2362;-0.1916;-0.0032;-0.0502
;171.5833;-0.2870;-0.2946;-0.2749;-0.2095;-0.0020;-0.0529
;171.5903;-0.3670;-0.3594;-0.3135;-0.2270;-0.0010;-0.0557
;171.5972;-0.4280;-0.4210;-0.3516;-0.2442;-0.0001;-0.0584
;171.6042;-0.4780;-0.4758;-0.3883;-0.2609;0.0007;-0.0612
;171.6111;-0.5450;-0.5246;-0.4246;-0.2772;0.0013;-0.0639
;171.6181;-0.5610;-0.5684;-0.4589;-0.2929;0.0018;-0.0666
;171.6250;-0.6110;-0.5988;-0.4935;-0.3080;0.0022;-0.0693
;171.6319;-0.6470;-0.6164;-0.5278;-0.3224;0.0025;-0.0720
;171.6389;-0.6300;-0.6386;-0.5625;-0.3361;0.0028;-0.0747
;171.6458;-0.6330;-0.6522;-0.5974;-0.3490;0.0030;-0.0774
;171.6528;-0.6720;-0.6646;-0.6312;-0.3612;0.0032;-0.0800
;171.6597;-0.6790;-0.6876;-0.6623;-0.3726;0.0033;-0.0827
;171.6667;-0.7090;-0.7162;-0.6908;-0.3832;0.0034;-0.0853
;171.6736;-0.7450;-0.7312;-0.7176;-0.3931;0.0035;-0.0879
;171.6806;-0.7760;-0.7506;-0.7399;-0.4022;0.0035;-0.0905
;171.6875;-0.7470;-0.7624;-0.7617;-0.4106;0.0036;-0.0931
;171.6944;-0.7760;-0.7734;-0.7818;-0.4182;0.0036;-0.0956
;171.7014;-0.7680;-0.7808;-0.7995;-0.4251;0.0036;-0.0981
;171.7083;-0.8000;-0.8048;-0.8162;-0.4312;0.0036;-0.1007
;171.7153;-0.8130;-0.8332;-0.8302;-0.4366;0.0035;-0.1031
;171.7222;-0.8670;-0.8658;-0.8405;-0.4412;0.0035;-0.1056
;171.7292;-0.9180;-0.8924;-0.8501;-0.4450;0.0034;-0.1080
;171.7361;-0.9310;-0.9198;-0.8580;-0.4479;0.0033;-0.1104
;171.7431;-0.9330;-0.9374;-0.8627;-0.4499;0.0033;-0.1128
;171.7500;-0.9500;-0.9390;-0.8664;-0.4510;0.0032;-0.1151
;171.7569;-0.9550;-0.9472;-0.8685;-0.4511;0.0032;-0.1174
;171.7639;-0.9260;-0.9566;-0.8678;-0.4503;0.0031;-0.1196
;171.7708;-0.9720;-0.9642;-0.8645;-0.4484;0.0032;-0.1218
;171.7778;-0.9800;-0.9692;-0.8602;-0.4456;0.0032;-0.1240
;171.7847;-0.9880;-0.9762;-0.8533;-0.4419;0.0033;-0.1261
;171.7917;-0.9800;-0.9624;-0.8459;-0.4373;0.0034;-0.1282
;171.7986;-0.9610;-0.9404;-0.8359;-0.4318;0.0036;-0.1302
;171.8056;-0.9030;-0.9092;-0.8258;-0.4254;0.0038;-0.1322
;171.8125;-0.8700;-0.8708;-0.8122;-0.4184;0.0041;-0.1341
;171.8194;-0.8320;-0.8332;-0.7958;-0.4106;0.0045;-0.1360
;171.8264;-0.7880;-0.8046;-0.7776;-0.4022;0.0049;-0.1378
;171.8333;-0.7730;-0.7764;-0.7574;-0.3932;0.0053;-0.1395
