Year;Month;Day;Hour;Min;Sec;level(m);volume(m3);discharge(m3/s)
2012;6;28;12;0;0;2747.23633;1126024;0.000
2012;6;28;12;10;0;2747.23719;1126128;-0.174
2012;6;28;12;20;0;2747.23794;1126232;-0.173
2012;6;28;12;30;0;2747.23952;1126426;-0.323
2012;6;28;12;40;0;2747.24089;1126593;-0.278
2012;6;28;12;50;0;2747.24223;1126769;-0.294
2012;6;28;13;0;0;2747.24378;1126956;-0.311
2012;6;28;13;10;0;2747.24573;1127204;-0.414
2012;6;28;13;20;0;2747.24807;1127502;-0.498
2012;6;28;13;30;0;2747.25078;1127832;-0.550
2012;6;28;13;40;0;2747.25371;1128203;-0.618
2012;6;28;13;50;0;2747.25659;1128562;-0.599
2012;6;28;14;0;0;2747.25937;1128915;-0.587
2012;6;28;14;10;0;2747.26206;1129243;-0.548
2012;6;28;14;20;0;2747.26469;1129571;-0.546
2012;6;28;14;30;0;2747.26736;1129909;-0.564
2012;6;28;14;40;0;2747.27017;1130265;-0.594
2012;6;28;14;50;0;2747.27302;1130626;-0.601
2012;6;28;15;0;0;2747.27594;1130985;-0.599
2012;6;28;15;10;0;2747.27879;1131337;-0.587
2012;6;28;15;20;0;2747.28136;1131664;-0.545
2012;6;28;15;30;0;2747.28375;1131970;-0.509
2012;6;28;15;40;0;2747.28611;1132263;-0.489
2012;6;28;15;50;0;2747.28838;1132541;-0.463
2012;6;28;16;0;0;2747.29074;1132842;-0.501
2012;6;28;16;10;0;2747.29315;1133137;-0.491
2012;6;28;16;20;0;2747.29563;1133445;-0.514
2012;6;28;16;30;0;2747.29823;1133776;-0.552
2012;6;28;16;40;0;2747.30091;1134117;-0.567
2012;6;28;16;50;0;2747.30365;1134454;-0.563
2012;6;28;17;0;0;2747.30659;1134818;-0.606
2012;6;28;17;10;0;2747.30960;1135205;-0.645
2012;6;28;17;20;0;2747.31259;1135586;-0.634
2012;6;28;17;30;0;2747.31555;1135963;-0.628
2012;6;28;17;40;0;2747.31849;1136331;-0.613
2012;6;28;17;50;0;2747.32151;1136714;-0.638
2012;6;28;18;0;0;2747.32455;1137089;-0.625
2012;6;28;18;10;0;2747.32763;1137471;-0.638
2012;6;28;18;20;0;2747.33085;1137883;-0.686
2012;6;28;18;30;0;2747.33420;1138307;-0.707
2012;6;28;18;40;0;2747.33755;1138721;-0.690
2012;6;28;18;50;0;2747.34100;1139164;-0.738
2012;6;28;19;0;0;2747.34459;1139617;-0.755
2012;6;28;19;10;0;2747.34822;1140086;-0.783
2012;6;28;19;20;0;2747.35197;1140545;-0.764
2012;6;28;19;30;0;2747.35592;1141043;-0.830
2012;6;28;19;40;0;2747.36005;1141570;-0.879
2012;6;28;19;50;0;2747.36427;1142102;-0.887
2012;6;28;20;0;0;2747.36852;1142627;-0.874
2012;6;28;20;10;0;2747.37297;1143204;-0.962
2012;6;28;20;20;0;2747.37756;1143780;-0.961
2012;6;28;20;30;0;2747.38212;1144349;-0.948
2012;6;28;20;40;0;2747.38658;1144910;-0.936
2012;6;28;20;50;0;2747.39091;1145461;-0.919
2012;6;28;21;0;0;2747.39482;1145955;-0.823
2012;6;28;21;10;0;2747.39842;1146411;-0.759
2012;6;28;21;20;0;2747.40199;1146857;-0.745
2012;6;28;21;30;0;2747.40556;1147313;-0.760
2012;6;28;21;40;0;2747.40919;1147776;-0.771
2012;6;28;21;50;0;2747.41293;1148245;-0.782
2012;6;28;22;0;0;2747.41665;1148720;-0.793
2012;6;28;22;10;0;2747.42025;1149179;-0.765
2012;6;28;22;20;0;2747.42374;1149618;-0.730
2012;6;28;22;30;0;2747.42714;1150052;-0.724
2012;6;28;22;40;0;2747.43050;1150481;-0.715
2012;6;28;22;50;0;2747.43381;1150898;-0.695
2012;6;28;23;0;0;2747.43709;1151317;-0.698
2012;6;28;23;10;0;2747.44033;1151731;-0.691
2012;6;28;23;20;0;2747.44338;1152116;-0.641
2012;6;28;23;30;0;2747.44613;1152469;-0.589
2012;6;28;23;40;0;2747.44860;1152775;-0.510
2012;6;28;23;50;0;2747.45082;1153062;-0.479
2012;6;29;0;0;0;2747.45286;1153315;-0.421
2012;6;29;0;10;0;2747.45505;1153593;-0.464
2012;6;29;0;20;0;2747.45746;1153905;-0.519
2012;6;29;0;30;0;2747.45987;1154203;-0.498
2012;6;29;0;40;0;2747.46227;1154514;-0.518
2012;6;29;0;50;0;2747.46462;1154811;-0.495
2012;6;29;1;0;0;2747.46676;1155089;-0.464
2012;6;29;1;10;0;2747.46877;1155337;-0.414
2012;6;29;1;20;0;2747.47094;1155620;-0.471
2012;6;29;1;30;0;2747.47340;1155940;-0.534
2012;6;29;1;40;0;2747.47615;1156272;-0.554
2012;6;29;1;50;0;2747.47919;1156661;-0.648
2012;6;29;2;0;0;2747.48244;1157077;-0.692
2012;6;29;2;10;0;2747.48573;1157492;-0.692
2012;6;29;2;20;0;2747.48874;1157878;-0.643
2012;6;29;2;30;0;2747.49139;1158206;-0.547
2012;6;29;2;40;0;2747.49375;1158506;-0.500
2012;6;29;2;50;0;2747.49780;1159031;-0.875
2012;6;29;3;0;0;2747.50370;1159778;-1.245
2012;6;29;3;10;0;2747.51175;1160803;-1.708
2012;6;29;3;20;0;2747.52210;1162126;-2.205
2012;6;29;3;30;0;2747.53456;1163726;-2.667
2012;6;29;3;40;0;2747.54707;1165326;-2.665
2012;6;29;3;50;0;2747.55947;1166906;-2.634
2012;6;29;4;0;0;2747.57164;1168470;-2.606
2012;6;29;12;10;0;2747.58350;1169982;-2.521
2012;6;29;12;20;0;2747.59531;1171488;-2.508
2012;6;29;12;30;0;2747.60723;1173027;-2.567
2012;6;29;12;40;0;2747.61933;1174593;-2.610
2012;6;29;12;50;0;2747.63175;1176181;-2.645
2012;6;29;13;0;0;2747.64253;1177568;-2.312
2012;6;29;13;10;0;2747.65143;1178730;-1.937
2012;6;29;13;20;0;2747.65832;1179598;-1.447
2012;6;29;13;30;0;2747.66301;1180207;-1.015
2012;6;29;13;40;0;2747.66543;1180525;-0.529
2012;6;29;13;50;0;2747.66776;1180818;-0.488
2012;6;29;14;0;0;2747.67012;1181127;-0.516
2012;6;29;14;10;0;2747.67262;1181447;-0.533
2012;6;29;14;20;0;2747.67542;1181813;-0.610
2012;6;29;14;30;0;2747.67834;1182180;-0.611
2012;6;29;14;40;0;2747.68123;1182557;-0.628
