UTC Time;Pegel Faverges 1
19.08.2020 19:00;0.055760
19.08.2020 18:50;0.053615
19.08.2020 18:40;0.058215
19.08.2020 18:30;0.054540
19.08.2020 18:20;0.052645
19.08.2020 18:10;0.051675
19.08.2020 18:00;0.057510
19.08.2020 17:50;0.061380
19.08.2020 17:40;0.067045
19.08.2020 17:30;0.073945
19.08.2020 17:20;0.083535
19.08.2020 17:10;0.088725
19.08.2020 17:00;0.088075
19.08.2020 16:50;0.082570
19.08.2020 16:40;0.081000
19.08.2020 16:30;0.081480
19.08.2020 16:20;0.081995
19.08.2020 16:10;0.081020
19.08.2020 16:00;0.081375
19.08.2020 15:50;0.081575
19.08.2020 15:40;0.087625
19.08.2020 15:30;0.101825
19.08.2020 15:20;0.117910
19.08.2020 15:10;0.119580
19.08.2020 15:00;0.114420
19.08.2020 14:50;0.114000
19.08.2020 14:40;0.113535
19.08.2020 14:30;0.107605
19.08.2020 14:20;0.107000
19.08.2020 14:10;0.107600
19.08.2020 14:00;0.107935
19.08.2020 13:50;0.107180
19.08.2020 13:40;0.107000
19.08.2020 13:30;0.107150
19.08.2020 13:20;0.112280
19.08.2020 13:10;0.114000
19.08.2020 13:00;0.115315
19.08.2020 12:50;0.120840
19.08.2020 12:40;0.122000
19.08.2020 12:30;0.121355
19.08.2020 12:20;0.121970
19.08.2020 12:10;0.121980
19.08.2020 12:00;0.121940
19.08.2020 11:50;0.121900
19.08.2020 11:40;0.121780
19.08.2020 11:30;0.121610
19.08.2020 11:20;0.120755
19.08.2020 11:10;0.110970
19.08.2020 11:00;0.102295
19.08.2020 10:50;0.105330
19.08.2020 10:40;0.092605
19.08.2020 10:30;0.092180
19.08.2020 10:20;0.099400
19.08.2020 10:10;0.099545
19.08.2020 10:00;0.096380
19.08.2020 09:50;0.093715
19.08.2020 09:40;0.093035
19.08.2020 09:30;0.091520
19.08.2020 09:20;0.092400
19.08.2020 09:10;0.090885
19.08.2020 09:00;0.089330
19.08.2020 08:50;0.088495
19.08.2020 08:40;0.090810
19.08.2020 08:30;0.089495
19.08.2020 08:20;0.075520
19.08.2020 08:10;0.058970
19.08.2020 08:00;0.057150
19.08.2020 07:50;0.056045
19.08.2020 07:40;0.055980
19.08.2020 07:30;0.060030
19.08.2020 07:20;0.050950
19.08.2020 07:10;0.035540
19.08.2020 07:00;0.031135
19.08.2020 06:50;0.031000
19.08.2020 06:40;0.030960
19.08.2020 06:30;0.020810
19.08.2020 06:20;0.000895
19.08.2020 06:10;-0.009450
19.08.2020 06:00;-0.009505
19.08.2020 05:50;-0.009275
19.08.2020 05:40;-0.008580
19.08.2020 05:30;-0.006235
19.08.2020 05:20;-0.003755
19.08.2020 05:10;-0.003005
19.08.2020 05:00;-0.002560
19.08.2020 04:50;-0.002455
19.08.2020 04:40;-0.002535
19.08.2020 04:30;-0.003230
19.08.2020 04:20;-0.003095
19.08.2020 04:10;-0.003240
19.08.2020 04:00;-0.002255
19.08.2020 03:50;-0.002010
19.08.2020 03:40;-0.002625
19.08.2020 03:30;-0.002065
19.08.2020 03:20;-0.002185
19.08.2020 03:10;-0.003335
19.08.2020 03:00;-0.004975
19.08.2020 02:50;-0.007140
19.08.2020 02:40;-0.008315
19.08.2020 02:30;-0.009545
19.08.2020 02:20;-0.008445
19.08.2020 02:10;-0.005365
19.08.2020 02:00;-0.009150
19.08.2020 01:50;-0.009940
19.08.2020 01:40;-0.010000
19.08.2020 01:30;-0.010000
19.08.2020 01:20;-0.010000
19.08.2020 01:10;-0.010000
19.08.2020 01:00;-0.009980
19.08.2020 00:50;-0.009980
19.08.2020 00:40;-0.009900
19.08.2020 00:30;-0.009010
19.08.2020 00:20;-0.004780
19.08.2020 00:10;-0.001219
19.08.2020 00:00;0.003740
18.08.2020 23:50;0.008510
18.08.2020 23:40;0.011050
18.08.2020 23:30;0.013145
18.08.2020 23:20;0.019030
18.08.2020 23:10;0.022190
18.08.2020 23:00;0.027830
18.08.2020 22:50;0.028410
18.08.2020 22:40;0.030745
18.08.2020 22:30;0.031000
18.08.2020 22:20;0.031000
18.08.2020 22:10;0.031000
18.08.2020 22:00;0.031000
18.08.2020 21:50;0.031000
18.08.2020 21:40;0.031000
18.08.2020 21:30;0.031000
18.08.2020 21:20;0.031000
18.08.2020 21:10;0.031000
18.08.2020 21:00;0.031000
18.08.2020 20:50;0.031015
18.08.2020 20:40;0.031015
18.08.2020 20:30;0.031000
18.08.2020 20:20;0.031000
18.08.2020 20:10;0.031000
18.08.2020 20:00;0.031000
18.08.2020 19:50;0.031000
18.08.2020 19:40;0.031000
18.08.2020 19:30;0.031000
18.08.2020 19:20;0.031000
18.08.2020 19:10;0.032765
18.08.2020 19:00;0.032155
18.08.2020 18:50;0.032255
18.08.2020 18:40;0.035760
18.08.2020 18:30;0.031425
18.08.2020 18:20;0.029340
18.08.2020 18:10;0.027725
18.08.2020 18:00;0.024330
18.08.2020 17:50;0.023355
18.08.2020 17:40;0.022645
18.08.2020 17:30;0.018680
18.08.2020 17:20;0.039070
18.08.2020 17:10;0.055825
18.08.2020 17:00;0.056000
18.08.2020 16:50;0.056000
18.08.2020 16:40;0.056000
18.08.2020 16:30;0.056000
18.08.2020 16:20;0.056000
18.08.2020 16:10;0.056000
18.08.2020 16:00;0.053870
18.08.2020 15:50;0.030195
18.08.2020 15:40;0.016745
18.08.2020 15:30;0.051150
18.08.2020 15:20;0.054455
18.08.2020 15:10;0.068070
18.08.2020 15:00;0.087770
18.08.2020 14:50;0.090340
18.08.2020 14:40;0.091395
18.08.2020 14:30;0.092925
18.08.2020 14:20;0.092610
18.08.2020 14:10;0.092290
18.08.2020 14:00;0.090180
18.08.2020 13:50;0.089515
18.08.2020 13:40;0.090550
18.08.2020 13:30;0.092670
18.08.2020 13:20;0.090580
18.08.2020 13:10;0.086555
