Date_Time;Lake Elevation
2019-06-21T01:10:00.0;2726.34
2019-06-21T01:20:00.0;2726.33
2019-06-21T01:30:00.0;2726.33
2019-06-21T01:40:00.0;2726.33
2019-06-21T01:50:00.0;2726.33
2019-06-21T02:00:00.0;2726.32
2019-06-21T02:10:00.0;2726.32
2019-06-21T02:20:00.0;2726.32
2019-06-21T02:30:00.0;2726.31
2019-06-21T02:40:00.0;2726.31
2019-06-21T02:50:00.0;2726.31
2019-06-21T03:00:00.0;2726.31
2019-06-21T03:10:00.0;2726.3
2019-06-21T03:20:00.0;2726.3
2019-06-21T03:30:00.0;2726.3
2019-06-21T03:40:00.0;2726.29
2019-06-21T03:50:00.0;2726.29
2019-06-21T04:00:00.0;2726.28
2019-06-21T04:10:00.0;2726.28
2019-06-21T04:20:00.0;2726.28
2019-06-21T04:30:00.0;2726.27
2019-06-21T04:40:00.0;2726.27
2019-06-21T04:50:00.0;2726.26
2019-06-21T05:00:00.0;2726.26
2019-06-21T05:10:00.0;2726.26
2019-06-21T05:20:00.0;2726.26
2019-06-21T05:30:00.0;2726.25
2019-06-21T05:40:00.0;2726.25
2019-06-21T05:50:00.0;2726.25
2019-06-21T06:00:00.0;2726.24
2019-06-21T06:10:00.0;2726.24
2019-06-21T06:20:00.0;2726.24
2019-06-21T06:30:00.0;2726.23
2019-06-21T06:40:00.0;2726.23
2019-06-21T06:50:00.0;2726.22
2019-06-21T07:00:00.0;2726.22
2019-06-21T07:10:00.0;2726.22
2019-06-21T07:20:00.0;2726.21
2019-06-21T07:30:00.0;2726.21
2019-06-21T07:40:00.0;2726.2
2019-06-21T07:50:00.0;2726.2
2019-06-21T08:00:00.0;2726.2
2019-06-21T08:10:00.0;2726.19
2019-06-21T08:20:00.0;2726.19
2019-06-21T08:30:00.0;2726.18
2019-06-21T08:40:00.0;2726.18
2019-06-21T08:50:00.0;2726.18
2019-06-21T09:00:00.0;2726.17
2019-06-21T09:10:00.0;2726.17
2019-06-21T09:20:00.0;2726.16
2019-06-21T09:30:00.0;2726.16
2019-06-21T09:40:00.0;2726.15
2019-06-21T09:50:00.0;2726.15
2019-06-21T10:00:00.0;2726.14
2019-06-21T10:10:00.0;2726.14
2019-06-21T10:20:00.0;2726.13
2019-06-21T10:30:00.0;2726.13
2019-06-21T10:40:00.0;2726.12
2019-06-21T10:50:00.0;2726.12
2019-06-21T11:00:00.0;2726.12
2019-06-21T11:10:00.0;2726.11
2019-06-21T11:20:00.0;2726.11
2019-06-21T11:30:00.0;2726.1
2019-06-21T11:40:00.0;2726.1
2019-06-21T11:50:00.0;2726.09
2019-06-21T12:00:00.0;2726.09
2019-06-21T12:10:00.0;2726.08
2019-06-21T12:20:00.0;2726.08
2019-06-21T12:30:00.0;2726.08
2019-06-21T12:40:00.0;2726.07
2019-06-21T12:50:00.0;2726.07
2019-06-21T13:00:00.0;2726.07
2019-06-21T13:10:00.0;2726.06
2019-06-21T13:20:00.0;2726.06
2019-06-21T13:30:00.0;2726.05
2019-06-21T13:40:00.0;2726.05
2019-06-21T13:50:00.0;2726.04
2019-06-21T14:00:00.0;2726.04
2019-06-21T14:10:00.0;2726.03
2019-06-21T14:20:00.0;2726.03
2019-06-21T14:30:00.0;2726.03
2019-06-21T14:40:00.0;2726.02
2019-06-21T14:50:00.0;2726.02
2019-06-21T15:00:00.0;2726.02
2019-06-21T15:10:00.0;2726.02
2019-06-21T15:20:00.0;2726.02
2019-06-21T15:30:00.0;2726.02
2019-06-21T15:40:00.0;2726.01
2019-06-21T15:50:00.0;2726.01
2019-06-21T16:00:00.0;2726.01
2019-06-21T16:10:00.0;2726.01
2019-06-21T16:20:00.0;2726
2019-06-21T16:30:00.0;2726
