Year;Month;Day;Hour;Min;Sec;level(m);volume(m3);discharge(m3/s)
2015;6;25;6;50;0;2740.96444;1158495;0.000
2015;6;25;7;0;0;2740.96394;1158441;0.089
2015;6;25;7;10;0;2740.96347;1158401;0.067
2015;6;25;7;20;0;2740.96263;1158287;0.190
2015;6;25;7;30;0;2740.96175;1158200;0.145
2015;6;25;7;40;0;2740.96093;1158111;0.148
2015;6;25;7;50;0;2740.96015;1158017;0.157
2015;6;25;8;0;0;2740.95942;1157938;0.132
2015;6;25;8;10;0;2740.95877;1157867;0.117
2015;6;25;8;20;0;2740.95820;1157806;0.102
2015;6;25;8;30;0;2740.95771;1157753;0.089
2015;6;25;8;40;0;2740.95723;1157701;0.086
2015;6;25;8;50;0;2740.95675;1157650;0.085
2015;6;25;9;0;0;2740.95633;1157594;0.093
2015;6;25;9;10;0;2740.95596;1157554;0.067
2015;6;25;9;20;0;2740.95570;1157525;0.047
2015;6;25;9;30;0;2740.95559;1157514;0.019
2015;6;25;9;40;0;2740.95562;1157516;-0.003
2015;6;25;9;50;0;2740.95569;1157524;-0.014
2015;6;25;10;0;0;2740.95588;1157545;-0.034
2015;6;25;10;10;0;2740.95619;1157578;-0.056
2015;6;25;10;20;0;2740.95655;1157628;-0.084
2015;6;25;10;30;0;2740.95696;1157672;-0.073
2015;6;25;10;40;0;2740.95743;1157723;-0.085
2015;6;25;10;50;0;2740.95797;1157781;-0.097
2015;6;25;11;0;0;2740.95860;1157849;-0.113
2015;6;25;11;10;0;2740.95942;1157938;-0.148
2015;6;25;11;20;0;2740.96048;1158063;-0.209
2015;6;25;11;30;0;2740.96173;1158198;-0.226
2015;6;25;11;40;0;2740.96311;1158352;-0.256
2015;6;25;11;50;0;2740.96466;1158519;-0.279
2015;6;25;12;0;0;2740.96637;1158704;-0.308
2015;6;25;12;10;0;2740.96814;1158905;-0.336
2015;6;25;12;20;0;2740.96990;1159095;-0.316
2015;6;25;12;30;0;2740.97165;1159294;-0.332
2015;6;25;12;40;0;2740.97322;1159472;-0.296
2015;6;25;12;50;0;2740.97454;1159612;-0.232
2015;6;25;13;0;0;2740.97572;1159738;-0.211
2015;6;25;13;10;0;2740.97690;1159866;-0.213
2015;6;25;13;20;0;2740.97811;1160008;-0.236
2015;6;25;13;30;0;2740.97940;1160146;-0.231
2015;6;25;13;40;0;2740.98077;1160294;-0.247
2015;6;25;13;50;0;2740.98222;1160462;-0.278
2015;6;25;14;0;0;2740.98363;1160606;-0.240
2015;6;25;14;10;0;2740.98489;1160755;-0.249
2015;6;25;14;20;0;2740.98599;1160873;-0.197
2015;6;25;14;30;0;2740.98702;1160984;-0.185
2015;6;25;14;40;0;2740.98801;1161102;-0.197
2015;6;25;14;50;0;2740.98913;1161222;-0.200
