Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1974-01-01 - 2026-05-16
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-07 00:00:00;1974-02-07 23:38:20;0.865;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-08 00:00:00;1974-02-08 02:35:30;0.872;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-09 00:00:00;1974-02-09 03:59:00;0.642;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-10 00:00:00;1974-02-10 00:00:00;0.190;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-11 00:00:00;1974-02-12 00:00:00;0.193;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-12 00:00:00;1974-02-12 20:47:00;0.210;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-13 00:00:00;1974-02-13 00:00:00;0.207;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-14 00:00:00;1974-02-14 00:00:00;0.185;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-15 00:00:00;1974-02-15 00:00:00;0.178;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-16 00:00:00;1974-02-16 00:00:00;0.176;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-17 00:00:00;1974-02-17 00:00:00;0.174;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-18 00:00:00;1974-02-19 00:00:00;0.174;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-19 00:00:00;1974-02-20 00:00:00;0.176;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-20 00:00:00;1974-02-21 00:00:00;0.178;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-21 00:00:00;1974-02-21 03:00:00;0.178;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-22 00:00:00;1974-02-22 00:00:00;0.177;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-23 00:00:00;1974-02-23 00:00:00;0.175;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-24 00:00:00;1974-02-24 13:42:10;0.163;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-25 00:00:00;1974-02-25 04:37:55;0.166;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-26 00:00:00;1974-02-26 15:01:25;0.242;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-27 00:00:00;1974-02-27 03:04:15;0.187;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-02-28 00:00:00;1974-02-28 18:07:10;0.178;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-01 00:00:00;1974-03-01 00:00:00;0.169;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-02 00:00:00;1974-03-02 00:00:00;0.146;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-03 00:00:00;1974-03-03 00:00:00;0.142;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-04 00:00:00;1974-03-04 00:00:00;0.140;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-05 00:00:00;1974-03-05 14:06:40;0.148;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-06 00:00:00;1974-03-06 00:00:00;0.148;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-07 00:00:00;1974-03-07 00:00:00;0.147;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-08 00:00:00;1974-03-08 00:00:00;0.146;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-09 00:00:00;1974-03-09 00:00:00;0.145;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-10 00:00:00;1974-03-10 00:00:00;0.144;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-11 00:00:00;1974-03-11 22:13:25;0.172;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-12 00:00:00;1974-03-12 00:00:00;0.172;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-13 00:00:00;1974-03-13 00:00:00;0.172;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-14 00:00:00;1974-03-14 00:00:00;0.172;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-15 00:00:00;1974-03-16 00:00:00;0.172;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-16 00:00:00;1974-03-17 00:00:00;0.398;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-17 00:00:00;1974-03-17 06:08:35;0.720;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-18 00:00:00;1974-03-18 23:03:50;0.660;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-19 00:00:00;1974-03-19 20:29:45;0.782;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-20 00:00:00;1974-03-20 21:44:35;1.044;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-21 00:00:00;1974-03-21 00:00:00;0.990;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-22 00:00:00;1974-03-22 21:51:50;0.936;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-23 00:00:00;1974-03-23 00:00:00;0.909;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-24 00:00:00;1974-03-24 20:03:50;0.720;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-25 00:00:00;1974-03-25 20:24:00;0.738;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-26 00:00:00;1974-03-26 00:00:00;0.704;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-27 00:00:00;1974-03-27 22:27:50;0.642;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-28 00:00:00;1974-03-28 00:00:00;0.634;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-29 00:00:00;1974-03-29 18:11:30;0.678;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-30 00:00:00;1974-03-30 19:36:25;0.782;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-03-31 00:00:00;1974-04-01 00:00:00;0.953;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-01 00:00:00;1974-04-01 00:34:30;0.955;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-02 00:00:00;1974-04-02 17:44:05;0.865;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-03 00:00:00;1974-04-03 20:22:30;0.923;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-04 00:00:00;1974-04-04 17:58:30;1.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-05 00:00:00;1974-04-05 00:00:00;0.905;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-06 00:00:00;1974-04-06 17:05:15;0.801;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-07 00:00:00;1974-04-07 21:28:45;0.872;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-08 00:00:00;1974-04-08 20:24:00;0.910;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-09 00:00:00;1974-04-09 19:53:45;0.987;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-10 00:00:00;1974-04-10 19:09:05;0.955;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-11 00:00:00;1974-04-11 19:37:55;0.987;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-12 00:00:00;1974-04-12 00:00:00;0.948;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-13 00:00:00;1974-04-13 19:40:45;0.904;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-14 00:00:00;1974-04-14 00:00:00;0.869;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-15 00:00:00;1974-04-15 00:00:00;0.756;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-16 00:00:00;1974-04-16 00:00:00;0.702;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-17 00:00:00;1974-04-17 00:00:00;0.618;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-18 00:00:00;1974-04-18 00:00:00;0.538;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-19 00:00:00;1974-04-19 19:55:10;0.504;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-20 00:00:00;1974-04-20 00:00:00;0.479;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-21 00:00:00;1974-04-21 17:54:10;0.492;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-22 00:00:00;1974-04-22 18:56:05;0.516;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-23 00:00:00;1974-04-23 00:00:00;0.506;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-24 00:00:00;1974-04-24 00:10:00;0.510;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-25 00:00:00;1974-04-25 00:00:00;0.471;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-26 00:00:00;1974-04-26 00:00:00;0.433;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-04-27 00:00:00;1974-04-27 04:36:25;0.440;Freigegeben, validierte Daten
